kind,depth,cp,problem,pRef_method,pRef_size,mse,mae,r_sq,evs
iai,2,0.25,SAT_S,uniform,10000,12.104330523360392,2.7561936529697135,0.13659745287420821,0.13663130563379444
iai,3,0.25,SAT_S,uniform,10000,10.34391036268539,2.5494496349464346,0.2621683175994408,0.2622443203478787
iai,4,0.25,SAT_S,uniform,10000,8.970661688692175,2.3712322551287226,0.36012221936002287,0.3602415031308063
iai,5,0.25,SAT_S,uniform,10000,7.6833748286744585,2.2025319332443414,0.4519444603072488,0.4520432790110138
iai,6,0.25,SAT_S,uniform,10000,6.8253280022131255,2.0883481681915237,0.5131489865790781,0.5132189346277352
iai,2,0.25,SAT_S,GA,10000,8.958067701990824,2.3231025828015985,0.20783436287695878,0.21059110708741346
iai,3,0.25,SAT_S,GA,10000,7.8947915948186855,2.1457555758215485,0.301860309419932,0.3061464091131024
iai,4,0.25,SAT_S,GA,10000,7.828663226852263,2.08072260803344,0.3077080683881286,0.31028283490113695
iai,5,0.25,SAT_S,GA,10000,6.4529062298592414,1.8536423533002995,0.42936682944072224,0.4330895958442669
iai,6,0.25,SAT_S,GA,10000,5.916614789232204,1.8034279549255912,0.4767913036555729,0.47685080685798353
iai,2,0.25,SAT_S,SA,10000,10.080354588468373,2.636107799648536,0.25241077877103446,0.259351722523393
iai,3,0.25,SAT_S,SA,10000,8.782572151522412,2.449025886593259,0.34865820269310044,0.34982891692826645
iai,4,0.25,SAT_S,SA,10000,8.077978571605644,2.325812359989281,0.4009129682442537,0.4025150966273683
iai,5,0.25,SAT_S,SA,10000,6.810801593000528,2.0934320963643973,0.49489059991193207,0.4958312663199673
iai,6,0.25,SAT_S,SA,10000,6.0441722232145745,1.940389606258877,0.5517461250325633,0.5529619730462846
iai,2,0.25,SAT_S,Tabu,10000,4.59116705435704,1.6942576248540695,0.08264047102068217,0.08322398669716313
iai,3,0.25,SAT_S,Tabu,10000,4.277435406451916,1.6350963361834472,0.14532708497758917,0.14558373253528334
iai,4,0.25,SAT_S,Tabu,10000,4.055124654012982,1.6007210408889274,0.18974692087767475,0.19018458181008058
iai,5,0.25,SAT_S,Tabu,10000,3.5757226375197138,1.509825455466253,0.2855360748847462,0.2860231967804787
iai,6,0.25,SAT_S,Tabu,10000,3.3405105816564804,1.4575286079740035,0.3325337158379723,0.3329293067503881
iai,2,0.25,SAT_S,PSO,10000,8.958067701990824,2.3231025828015985,0.20783436287695878,0.21059110708741346
iai,3,0.25,SAT_S,PSO,10000,7.8947915948186855,2.1457555758215485,0.301860309419932,0.3061464091131024
iai,4,0.25,SAT_S,PSO,10000,7.828663226852263,2.08072260803344,0.3077080683881286,0.31028283490113695
iai,5,0.25,SAT_S,PSO,10000,6.4529062298592414,1.8536423533002995,0.42936682944072224,0.4330895958442669
iai,6,0.25,SAT_S,PSO,10000,5.916614789232204,1.8034279549255912,0.4767913036555729,0.47685080685798353
iai,2,0.25,SAT_M,uniform,10000,25.50653270541698,4.006793009630481,0.056271234791111846,0.056325239543927874
iai,3,0.25,SAT_M,uniform,10000,23.83106537932399,3.8803236620598494,0.11826267553545755,0.11834873058142803
iai,4,0.25,SAT_M,uniform,10000,22.642770461832438,3.795779112402046,0.16222898440777778,0.16236554545692528
iai,5,0.25,SAT_M,uniform,10000,21.161333538982316,3.660991241087231,0.21704139870504857,0.217057708683413
iai,6,0.25,SAT_M,uniform,10000,20.569702374871028,3.637611277865598,0.2389314515167843,0.23893164488544893
iai,2,0.25,SAT_M,GA,10000,43.48491167364023,4.9963212455778505,0.2700981704925529,0.2701140363911544
iai,3,0.25,SAT_M,GA,10000,32.40852941539716,4.308328008846558,0.45601717925798235,0.4560562191386658
iai,4,0.25,SAT_M,GA,10000,25.015297065039057,3.583141452655726,0.5801138741989815,0.5801206228218254
iai,5,0.25,SAT_M,GA,10000,22.428755795640875,3.2580716424744507,0.6235294206947255,0.6239311956568043
iai,6,0.25,SAT_M,GA,10000,18.916588280937265,3.0346885947511395,0.6824817652173144,0.683123174059838
iai,2,0.25,SAT_M,SA,10000,41.98680427494146,5.268587332479811,0.12877393044146612,0.13243066954900984
iai,3,0.25,SAT_M,SA,10000,36.09626945951159,4.928565921001106,0.2510025111459886,0.2539382066535155
iai,4,0.25,SAT_M,SA,10000,31.03447798339822,4.434118451524704,0.3560346699114295,0.35680560322170984
iai,5,0.25,SAT_M,SA,10000,22.50954742909149,3.817811522154185,0.5329269547219875,0.5354039701018097
iai,6,0.25,SAT_M,SA,10000,18.377452440106964,3.4687310934049993,0.6186679140177167,0.619471916789528
iai,2,0.25,SAT_M,Tabu,10000,10.42768004540235,2.572075229657512,0.06215567403762101,0.06217706658895594
iai,3,0.25,SAT_M,Tabu,10000,9.938041520180876,2.494324920195045,0.10619276672287403,0.10639055507264128
iai,4,0.25,SAT_M,Tabu,10000,9.222502463438637,2.4280486830975407,0.1705468935706822,0.17063238225126232
iai,5,0.25,SAT_M,Tabu,10000,8.760278905921485,2.3762363638610653,0.21211833984216022,0.21236097624749162
iai,6,0.25,SAT_M,Tabu,10000,8.59344296714436,2.312847222575076,0.2271232247127618,0.22714935878748088
iai,2,0.25,SAT_M,PSO,10000,43.48491167364023,4.9963212455778505,0.2700981704925529,0.2701140363911544
iai,3,0.25,SAT_M,PSO,10000,32.40852941539716,4.308328008846558,0.45601717925798235,0.4560562191386658
iai,4,0.25,SAT_M,PSO,10000,25.015297065039057,3.583141452655726,0.5801138741989815,0.5801206228218254
iai,5,0.25,SAT_M,PSO,10000,22.428755795640875,3.2580716424744507,0.6235294206947255,0.6239311956568043
iai,6,0.25,SAT_M,PSO,10000,18.916588280937265,3.0346885947511395,0.6824817652173144,0.683123174059838
iai,2,0.25,SAT_L,uniform,10000,45.23510225339682,5.380073142824855,0.03014499152956107,0.030227764655009648
iai,3,0.25,SAT_L,uniform,10000,44.12588275639,5.310355481128376,0.053927011047033124,0.05395717086989871
iai,4,0.25,SAT_L,uniform,10000,43.18529494961933,5.240232630388505,0.07409351338392689,0.07412117571380239
iai,5,0.25,SAT_L,uniform,10000,42.49490433373354,5.178364588040753,0.08889570821189474,0.0889374552084864
iai,6,0.25,SAT_L,uniform,10000,42.49490433373354,5.178364588040753,0.08889570821189474,0.0889374552084864
iai,2,0.25,SAT_L,GA,10000,130.85290913664338,8.581871637291766,0.29225339029974917,0.29225495101646826
iai,3,0.25,SAT_L,GA,10000,93.37294581522062,6.988641499167942,0.49497197827341477,0.4949774202963694
iai,4,0.25,SAT_L,GA,10000,69.72734890934393,5.844857629775142,0.6228643664128127,0.6229520376122379
iai,5,0.25,SAT_L,GA,10000,51.34572059048286,5.016908536179393,0.7222854278877151,0.7224436644214471
iai,6,0.25,SAT_L,GA,10000,42.6480034325055,4.299698553824366,0.7693289355277478,0.770926509044835
iai,2,0.25,SAT_L,SA,10000,95.55151884679445,7.780135898258229,0.19538689687572963,0.19714408908272696
iai,3,0.25,SAT_L,SA,10000,77.26860831270878,6.876101046301229,0.34934226625673226,0.351780842789316
iai,4,0.25,SAT_L,SA,10000,51.57209813244228,5.581161743367883,0.5657255225894731,0.5681222197259508
iai,5,0.25,SAT_L,SA,10000,35.06296051017402,4.485848111706408,0.7047444373328103,0.7051292355414778
iai,6,0.25,SAT_L,SA,10000,20.715693511396232,3.459928101956306,0.825558833174581,0.8276757622951275
iai,2,0.25,SAT_L,Tabu,10000,19.839541134881856,3.5508033721964103,0.04614122641445295,0.04648341471175188
iai,3,0.25,SAT_L,Tabu,10000,18.49801197918394,3.439995561217744,0.11064016550198186,0.1107658722156043
iai,4,0.25,SAT_L,Tabu,10000,16.61068375302266,3.256905170670717,0.20138039860114354,0.20151136536133663
iai,5,0.25,SAT_L,Tabu,10000,15.355514340998505,3.138736940948561,0.2617272759737477,0.26175930668213654
iai,6,0.25,SAT_L,Tabu,10000,13.416804286092402,2.894929307660479,0.3549378791191675,0.35534113140647716
iai,2,0.25,SAT_L,PSO,10000,130.85290913664338,8.581871637291766,0.29225339029974917,0.29225495101646826
iai,3,0.25,SAT_L,PSO,10000,93.37294581522062,6.988641499167942,0.49497197827341477,0.4949774202963694
iai,4,0.25,SAT_L,PSO,10000,69.72734890934393,5.844857629775142,0.6228643664128127,0.6229520376122379
iai,5,0.25,SAT_L,PSO,10000,51.34572059048286,5.016908536179393,0.7222854278877151,0.7224436644214471
iai,6,0.25,SAT_L,PSO,10000,42.6480034325055,4.299698553824366,0.7693289355277478,0.770926509044835
iai,2,0.25,GC_S,uniform,10000,395.2854172500014,15.40620249999993,-0.000541436788140004,-2.220446049250313e-16
iai,3,0.25,GC_S,uniform,10000,395.2854172500014,15.40620249999993,-0.000541436788140004,-2.220446049250313e-16
iai,4,0.25,GC_S,uniform,10000,395.2854172500014,15.40620249999993,-0.000541436788140004,-2.220446049250313e-16
iai,5,0.25,GC_S,uniform,10000,395.2854172500014,15.40620249999993,-0.000541436788140004,-2.220446049250313e-16
