kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp
ps,3,5000.0,100.0,False,simplicity variance,BT,ACO,10000,52.34733342287528,5.4582317586112445,0.63948201751253,0.6395176224046661,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,70.88704473391176,6.007396345818785,0.5865818297909403,0.5878146558426367,
ps,4,5000.0,100.0,False,simplicity variance,BT,ACO,10000,27.957509095335034,4.114361115051466,0.8039433705354309,0.8040946140934315,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,43.92171786596275,5.172738433430565,0.7036602734749683,0.7047414077867,
ps,5,5000.0,100.0,False,simplicity variance,BT,ACO,10000,51.00978747015652,5.24903728489569,0.7298300759430945,0.7308519945391976,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,55.446822593456744,5.649152932299113,0.7042372457546016,0.7042691249558934,
ps,3,5000.0,100.0,False,simplicity variance,BT,BBO,10000,28.202578836666742,3.557583021145655,0.9393104560960687,0.9393104561941441,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,87.6796649736071,5.512458160203367,0.753952824882339,0.7540765507047267,
ps,4,5000.0,100.0,False,simplicity variance,BT,BBO,10000,25.511319376054203,2.8224234858440678,0.9268559264704616,0.9283245555022918,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,27.112585404522218,3.3818203645091804,0.9151063275295787,0.9156222857258147,
ps,5,5000.0,100.0,False,simplicity variance,BT,BBO,10000,10.640158216021755,1.9555389664466003,0.9662072170884968,0.9663353851459405,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,29.086531305610567,3.2136952316175664,0.8810549771254931,0.8817928482701121,
ps,3,5000.0,100.0,False,simplicity variance,BT,BRO,10000,22.79804164985637,3.732173222072202,0.2983563195346526,0.298572410135826,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,27.23219638846905,4.151281658554629,0.3701914225740056,0.37021348831666245,
ps,4,5000.0,100.0,False,simplicity variance,BT,BRO,10000,16.430530242601737,3.1466763630910806,0.44346239041319757,0.4453633643171314,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,19.019575078635718,3.352121273205645,0.3446621847344523,0.34705651789172975,
ps,5,5000.0,100.0,False,simplicity variance,BT,BRO,10000,21.499998169625236,3.6108589398136828,0.323762745775091,0.32376427620440584,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BRO,10000,24.412857111640648,3.9013886576666517,0.33145246356985003,0.3315375020695882,
ps,3,5000.0,100.0,False,simplicity variance,BT,CRO,10000,17.354097341069174,2.8033214066989722,0.9025403722310519,0.9026431135065145,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,16.749679963337556,2.6285393297819817,0.9112414272089471,0.9114625396121911,
ps,4,5000.0,100.0,False,simplicity variance,BT,CRO,10000,10.666161850258758,2.0113280143090364,0.9392406751731477,0.9395601814723471,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,16.702733189603208,2.7581476954117505,0.8983483352302915,0.8984954830646619,
ps,5,5000.0,100.0,False,simplicity variance,BT,CRO,10000,15.087749864417528,2.3114003424436675,0.8984439161547271,0.9000466831320023,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,CRO,10000,14.997514049968265,2.530671701079065,0.9144349235724755,0.914435283217512,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,113.34784939937367,8.47208140062869,0.5068744831965346,0.5141898101531432,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,210.38956914584762,11.392989838444388,0.3178210105779161,0.32127243188391763,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,164.29773446487837,10.042547791069783,0.3824012123086724,0.38483355180767664,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,129.42876063039887,9.3506254467599,0.19226079137883645,0.19797093909238983,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,196.18655348099188,9.964830099345502,0.2711473207448305,0.28035619762716757,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,103.6120927402447,8.260218225480907,0.4524294555282278,0.4705360425327788,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,54.310384130112844,5.233302940223705,0.8937474120771762,0.8939249536685518,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,146.6585581082085,8.900194831192433,0.8028759031968608,0.8065424838906937,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,75.13169540281825,5.677893495664125,0.82251952332817,0.8225426183790461,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,127.46858141252068,6.675832747698528,0.7781821134019693,0.7803082569924742,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,62.843987804367366,5.089361163784507,0.882496638248754,0.883390483692809,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,119.49275454609206,6.187605375179362,0.8349396576745507,0.8369950238179752,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,6930.443165721787,69.65221231315957,-0.0016697526521793904,0.0,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,4279.7026688436645,50.01395147167833,0.5544202611735396,0.5549405777700482,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,9032.68111548283,80.80494549875864,-0.005769437525124044,0.0,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,3070.7041332153926,43.6612611019547,0.6035030355329949,0.6035545662690588,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,BRO,10000,2409.992084780336,36.85235231308629,0.5890399817389698,0.5890671874957881,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BRO,10000,3087.4332521175884,41.53728081293163,0.5316062298124602,0.5316174991941615,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,74.4969349946321,5.518266415746243,0.8559134682438987,0.8559380457717838,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,72.1619642048507,5.283482804109302,0.7715882646246981,0.7715883004699837,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,51.93270917888335,4.916217922450348,0.8165785057567142,0.8186647879131935,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,42.19977844888963,4.30874145711972,0.8935120754928269,0.8937105238566634,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,CRO,10000,62.20998439369993,4.616167120588546,0.8568888757568422,0.8570104485947927,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,CRO,10000,47.77296687580233,4.6062411600428135,0.9018524764583375,0.9077190881147915,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,375.2465545160168,14.794941307842263,0.6532985329386971,0.6545201729768515,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,716.6522638657002,20.641465478893718,0.39363611217304684,0.4102831045671116,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,476.05090779774997,15.490135994273924,0.561335864455301,0.5635440340435918,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,462.68767067088555,17.076334040227543,0.5690958215328513,0.5754492806446168,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,513.0062942564577,16.569408924408922,0.6201838389418157,0.6219069854602673,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,646.1562090214111,18.735149099104266,0.4454086045424076,0.44712974046566767,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,273.1419433773814,11.287395968120594,0.8996405548916868,0.9000665539931536,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,160.0576600934747,9.257249557799225,0.9334151009273169,0.9335641992174644,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,215.56177025363417,7.9991632083265785,0.9148893956276961,0.915247952683325,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,252.94993938667855,8.807069303934272,0.866132592165461,0.8679880813385282,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,243.95330142349948,7.6610573498881065,0.9067591256769804,0.9070646912038911,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,287.230420902811,10.388988101674256,0.8864066606853729,0.8866476204734557,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,13551.655875018401,88.04304016049447,0.4726493338497264,0.47360981678706493,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,12279.889436065963,86.827543380262,0.5064921248185106,0.5068360381389512,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,10998.295394657443,80.86923615967665,0.49958645404913626,0.49963284989059364,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,12627.483541225793,85.93055581396051,0.48635584338790094,0.4864734923311672,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,9069.406601188111,73.20744966840823,0.640422127167654,0.6405180370756467,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,10296.008376670201,75.07604943035012,0.4979330967900336,0.4990711488741215,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,165.2406007381335,9.423853461181135,0.8967609109403833,0.8980458998367565,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,268.09180749426463,12.276219835618763,0.789152705770743,0.7905902833426959,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,76.55390808526714,6.112887136315639,0.9271041668147111,0.9285247709179212,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,135.48939692270122,6.791651124703278,0.888519115379201,0.8893268957264449,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,110.8047954046147,5.495040008669645,0.9038357117515354,0.9039577786143437,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,100.6924732809137,6.199400743333624,0.9169168275306178,0.9174176768611116,
iai,3,,,,,SAT_S,ACO,10000,4.185589741585011,1.6038609360795002,0.544937467417786,0.5597469700976034,0.25
