kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp
ps,3,5000.0,100.0,False,simplicity variance,BT,ACO,10000,5.260850559247565,1.7459583527453812,0.38883584554075945,0.38886262832280394,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,5.633113536718431,1.7925377317580684,0.3268370663036383,0.32790796345791373,
ps,4,5000.0,100.0,False,simplicity variance,BT,ACO,10000,5.005942057170523,1.6934775271785119,0.4298973109209081,0.4300165533685518,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,5.141870327320353,1.6994498558215665,0.41225774409576854,0.4125960656695764,
ps,5,5000.0,100.0,False,simplicity variance,BT,ACO,10000,4.590676312449296,1.6350056677925973,0.48211782184775664,0.4821735284277675,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,ACO,10000,4.482788212047339,1.578664076959167,0.48554051677444565,0.4855585116033001,
ps,3,5000.0,100.0,False,simplicity variance,BT,BBO,10000,49.442702475707684,5.598531797499297,0.24745167347514707,0.2524236848149628,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,28.811478274150165,4.332373323193448,0.1210248578554366,0.12885435150666447,
ps,4,5000.0,100.0,False,simplicity variance,BT,BBO,10000,37.13268486283237,4.936801197632254,0.2768449206342456,0.27788164426142314,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,31.3898872927957,4.338253644098205,0.4499670690519817,0.45006356409267156,
ps,5,5000.0,100.0,False,simplicity variance,BT,BBO,10000,34.57918686878797,4.864981629483541,0.28063330007450626,0.280980750942853,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,BT,BBO,10000,27.040034344624775,4.136578436536677,0.22424253279257755,0.23011265171262618,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,578.0927331200567,18.010973334796446,-0.0007280660682733586,-2.220446049250313e-16,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,567.1922191125682,16.190818198165797,0.01697260017461477,0.017802710014726886,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,475.30762458977273,15.204970394325871,-0.0021419020087467544,-2.220446049250313e-16,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,221.43220646564893,11.638412635151266,0.6335328676961286,0.6343981852439415,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,ACO,10000,117.70222540301131,8.153940128239627,0.6205727755840349,0.6208038690513271,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,ACO,10000,366.1369325975647,13.591749763749764,0.22803269235047674,0.2285552118135199,
ps,3,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,237.2798720335892,12.233473301582375,0.1157082983478156,0.11571497057306035,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,883.8490204709266,23.595008691634774,0.25068876565777853,0.2519342063387767,
ps,4,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,320.4164956306611,14.639521748988123,0.14178238641765906,0.1417964617749079,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,189.77109735572003,10.818960015633913,0.29857733853486657,0.3024617159593106,
ps,5,5000.0,100.0,False,simplicity variance,GC_L,BBO,10000,197.9869905988509,11.274668658326734,0.19979795575584025,0.19994502264722724,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,BBO,10000,209.24041927971848,11.459989526080784,0.25732748405407857,0.2579430895284497,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,797.8188217039201,18.812326357514035,0.4410146331126742,0.4413885716239343,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,871.3488915099202,19.98384767857784,0.5097694013036591,0.5101677310323443,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,1162.124771399857,25.427389461550867,0.39009664736394045,0.39009820217935365,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,530.6241357246893,16.304361983993523,0.6047429518767515,0.6048284827738747,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,2117.37608300295,22.158492846149453,-1.3742772643210444e-05,0.0,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,248.83161985249177,11.173546484584206,0.848696167903886,0.8487027480758312,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,481.0715854241291,17.164421969857845,0.44326446015572907,0.44477225181639923,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,502.43738088584223,18.106337781635087,0.42169566601614084,0.4217458780626058,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,672.5325281789972,20.15644365329104,0.2697864289741829,0.2700797708263277,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,438.64799626858064,16.960467082424856,0.15705717137337782,0.16102817298719108,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,389.8694455937188,15.602778415063213,0.19619449720809679,0.19642704589899806,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,768.3412618741294,21.907876340283565,0.20896418945182693,0.2101130403942758,
iai,3,,,,,SAT_S,ACO,10000,1.9299999999999957,1.2599999999999993,-0.3402777777777748,0.0,0.25
