kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,runtime_seconds,mse,mae,r_sq,evs,cp
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_L,PSO,10000,225.302,102.91925232129029,7.057824351075022,0.6944004574550482,0.7194038032724768,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,148.381,523.2843019230583,18.16712293554399,0.5544816405485649,0.556360508417062,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,152.11,535.0335705049117,18.049471168932556,0.5914499430654939,0.5953378508893141,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,216.675,509.13179368602044,16.859471407181015,0.4713008769949948,0.47146565501531157,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,213.542,752.7046116675583,21.119744756837925,0.24860734376396476,0.24863792179671695,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,ACO,10000,351.204,872.858935895426,21.179579572163043,0.47810794012240154,0.4809614881793369,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,ACO,10000,648.896,825.1749905874414,21.231646074711094,0.31723227565899836,0.31723303478318987,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,85.791,133.0624236178078,9.086143159573586,0.9400698219085588,0.9400892741538661,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,95.854,343.25304231318364,11.735995160460286,0.8711705646749476,0.8711705834673857,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,145.486,216.06327719094367,10.32001661991462,0.9171534909614882,0.9172270151836664,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,164.593,217.71988634827613,9.34900083868003,0.9170039030157375,0.9170548647502748,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,BBO,10000,242.276,112.50979502905673,7.639128954520449,0.9564904699535304,0.9568937592512289,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BBO,10000,296.537,208.14868211718778,8.02052392526176,0.8997621943937819,0.8998823556470954,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,80.66,12639.250627240659,86.57227645633283,0.4207009647920391,0.4247841231993954,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,151.013,14992.721420849099,96.1322769617306,0.4485610559935087,0.4486087080412101,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,158.872,12242.814599771471,85.79754798225638,0.5387345847050954,0.5387959091676606,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,246.114,12736.685403442036,87.48648083526976,0.559623396431141,0.5596286818784766,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,BRO,10000,304.106,8193.394316066315,68.92613166235017,0.6724077422484909,0.6731170204576664,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,BRO,10000,395.081,10449.600753427509,77.25175384558892,0.5432663338176782,0.5438164014826572,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,65.668,257.9177355400142,9.512189682456407,0.8145913753078314,0.8149658644897513,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,70.087,120.00588241828908,7.050392564562316,0.8781027336304392,0.8800132196437686,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,137.475,152.75282042807646,7.3699120693569835,0.8768218422292677,0.8768271581997323,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,147.237,159.2761275707811,7.397660123139498,0.8715456749692232,0.8722042014966583,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,CRO,10000,238.797,144.29600197753663,6.203790064364339,0.8980497088156676,0.8994311337385994,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,CRO,10000,242.695,115.11041478580086,6.004166211005493,0.8857500428794244,0.8858220358423403,
ps,3,5000.0,100.0,False,simplicity variance,GC_S,PSO,10000,67.646,231.2187867499519,11.222160291111251,0.04941633420484659,0.06232062975480579,
ps,3,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,PSO,10000,81.816,408.1205235812137,14.61918101585575,0.743357552382401,0.744472978986616,
ps,4,5000.0,100.0,False,simplicity variance,GC_S,PSO,10000,174.201,204.28190157223875,9.834403222005472,0.8181501178594592,0.821115733129476,
ps,4,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,PSO,10000,188.124,362.5574339007711,12.888149099334758,0.8610839080745696,0.8619406586491944,
ps,5,5000.0,100.0,False,simplicity variance,GC_S,PSO,10000,334.384,343.9343830775569,11.398489197573424,0.8821665109788662,0.8824202392956342,
ps,5,5000.0,100.0,False,simplicity variance estimated_atomicity,GC_S,PSO,10000,357.231,316.20853108513455,10.818685289984897,0.9059813215191608,0.9062241820466779,
iai,3,,,,,SAT_S,ACO,10000,6.688,4.756010385424398,1.6320112369382467,0.42883939944094995,0.4358017679747753,0.25
iai,4,,,,,SAT_S,ACO,10000,6.688,3.187832441837158,1.3032015026843464,0.6171656189941519,0.6260048599871748,0.25
iai,5,,,,,SAT_S,ACO,10000,6.688,3.187832441837158,1.3032015026843464,0.6171656189941519,0.6260048599871748,0.25
iai,3,,,,,SAT_M,ACO,10000,10.964,23.353381254323313,3.8326237410056607,0.6027960388031384,0.6033149389645744,0.25
iai,4,,,,,SAT_M,ACO,10000,10.964,18.71514175010745,3.453416435931736,0.6816851334481908,0.6830432669704196,0.25
iai,5,,,,,SAT_M,ACO,10000,10.964,16.906572757002518,3.0833291341954734,0.7124460224319268,0.7128450905333379,0.25
iai,3,,,,,SAT_L,ACO,10000,19.093,63.25268809970463,5.98528561397712,0.6283044461340163,0.6296228606645052,0.25
iai,4,,,,,SAT_L,ACO,10000,19.093,47.02287205686788,5.365788894256519,0.7236766847600835,0.7236964082695997,0.25
iai,5,,,,,SAT_L,ACO,10000,19.093,44.57968287354762,5.199311779155633,0.7380337434713613,0.7412065126790965,0.25
iai,3,,,,,GC_S,ACO,10000,28.592,735.78702009225,20.145225023342665,0.20193352942986253,0.22284111061251655,0.25
iai,4,,,,,GC_S,ACO,10000,28.592,423.97784275380513,16.135779993124423,0.5401352683225542,0.5472325913661105,0.25
iai,5,,,,,GC_S,ACO,10000,28.592,423.97784275380513,16.135779993124423,0.5401352683225542,0.5472325913661105,0.25
iai,3,,,,,GC_L,ACO,10000,17.219,173.32689122074655,10.173862789151498,0.1374529606825836,0.14338606362321293,0.25
iai,4,,,,,GC_L,ACO,10000,17.219,173.32689122074655,10.173862789151498,0.1374529606825836,0.14338606362321293,0.25
iai,5,,,,,GC_L,ACO,10000,17.219,173.32689122074655,10.173862789151498,0.1374529606825836,0.14338606362321293,0.25
iai,3,,,,,BT,ACO,10000,42.844,102.16278323327246,7.394212224911347,0.3835479543491541,0.3962315609483784,0.25
iai,4,,,,,BT,ACO,10000,42.844,70.7377142615116,5.990476532827638,0.5731673777758625,0.5794697467599366,0.25
iai,5,,,,,BT,ACO,10000,42.844,64.18507571362457,5.372593891674538,0.612706114969741,0.6152459410076347,0.25
iai,3,,,,,SAT_S,BBO,10000,6.063,7.826027838249064,2.18941812894673,0.06504068217835057,0.07484760910379373,0.25
iai,4,,,,,SAT_S,BBO,10000,6.063,7.826027838249064,2.18941812894673,0.06504068217835057,0.07484760910379373,0.25
iai,5,,,,,SAT_S,BBO,10000,6.063,7.826027838249064,2.18941812894673,0.06504068217835057,0.07484760910379373,0.25
iai,3,,,,,SAT_M,BBO,10000,4.621,33.596225736884556,4.073012267853279,0.39266977016585414,0.398290512746311,0.25
iai,4,,,,,SAT_M,BBO,10000,4.621,33.596225736884556,4.073012267853279,0.39266977016585414,0.398290512746311,0.25
iai,5,,,,,SAT_M,BBO,10000,4.621,12.653255558538518,2.860122656001382,0.7712628595038723,0.7720402252911824,0.25
iai,3,,,,,SAT_L,BBO,10000,9.882,74.80358018499066,6.470875350140053,0.6551532014012551,0.6589851764127127,0.25
iai,4,,,,,SAT_L,BBO,10000,9.882,53.90052390247959,5.645867209427605,0.7515169318821617,0.7561111917419604,0.25
iai,5,,,,,SAT_L,BBO,10000,9.882,48.63857469043638,5.379766189750477,0.7757746791139765,0.7832980742092421,0.25
iai,3,,,,,GC_S,BBO,10000,12.496,903.4748009834874,20.452297505056432,0.6533173768147578,0.6556424721675111,0.25
iai,4,,,,,GC_S,BBO,10000,12.496,705.1543488988328,16.15588933744933,0.7294171800247067,0.7343172374993943,0.25
iai,5,,,,,GC_S,BBO,10000,12.496,705.1543488988328,16.15588933744933,0.7294171800247067,0.7343172374993943,0.25
iai,3,,,,,GC_L,BBO,10000,6.026,347.52337674973467,12.089534093000799,0.4547967250164896,0.47027635408056256,0.25
iai,4,,,,,GC_L,BBO,10000,6.026,217.41463027730268,8.536985016055464,0.6589145467993183,0.6661519642545167,0.25
iai,5,,,,,GC_L,BBO,10000,6.026,210.41662403593043,8.011057350312475,0.6698931921981824,0.6775406231377274,0.25
iai,3,,,,,BT,BBO,10000,18.995,70.53251934607887,6.183169638315303,0.8482218240411648,0.8482844280791972,0.25
iai,4,,,,,BT,BBO,10000,18.995,46.918095984784934,4.747910309622092,0.8990374497600007,0.8990594238106181,0.25
iai,5,,,,,BT,BBO,10000,18.995,43.588308324871115,4.326129854108776,0.9062027843040878,0.9073175844933432,0.25
iai,3,,,,,SAT_S,BRO,10000,4.791,6.957454909404499,2.09375,0.16732324195116233,0.17853819766057233,0.25
iai,4,,,,,SAT_S,BRO,10000,4.791,6.957454909404499,2.09375,0.16732324195116233,0.17853819766057233,0.25
iai,5,,,,,SAT_S,BRO,10000,4.791,6.957454909404499,2.09375,0.16732324195116233,0.17853819766057233,0.25
iai,3,,,,,SAT_M,BRO,10000,10.802,13.14991200364944,2.9343295585058233,0.31977426933001507,0.32010950703265706,0.25
iai,4,,,,,SAT_M,BRO,10000,10.802,10.98320001281107,2.6416276411104236,0.4318551141836091,0.432080092623063,0.25
iai,5,,,,,SAT_M,BRO,10000,10.802,9.749387816056512,2.4295614369627314,0.49567841602882223,0.4973079403053565,0.25
iai,3,,,,,SAT_L,BRO,10000,18.349,21.91349666969893,3.5945608592863505,0.5011736200498338,0.5020559849709123,0.25
iai,4,,,,,SAT_L,BRO,10000,18.349,17.928345675923953,2.994901780298608,0.5918893316381337,0.5982989049578141,0.25
iai,5,,,,,SAT_L,BRO,10000,18.349,14.433688135173915,2.6790537468692297,0.6714397291166134,0.6775580925102728,0.25
iai,3,,,,,GC_S,BRO,10000,47.004,12939.9287500305,90.23503196485139,0.4635411866157646,0.4653266981800772,0.25
iai,4,,,,,GC_S,BRO,10000,47.004,10244.87222175125,77.91077954370655,0.5752718502920013,0.5758319533922893,0.25
iai,5,,,,,GC_S,BRO,10000,47.004,9300.931226054508,74.6672271154037,0.6144054093894588,0.6155278152661074,0.25
iai,3,,,,,GC_L,BRO,10000,24.656,4185.6534360296455,50.99043572291138,0.4683662304689724,0.46836638249673046,0.25
iai,4,,,,,GC_L,BRO,10000,24.656,3477.0599443643873,45.974707085795,0.5583670474970752,0.5584213918436116,0.25
iai,5,,,,,GC_L,BRO,10000,24.656,2738.621137912516,40.29867118076589,0.6521586172583755,0.6521591685448103,0.25
iai,3,,,,,BT,BRO,10000,40.417,29.075218165592187,4.141091183028736,0.28256980545197785,0.283341808166942,0.25
iai,4,,,,,BT,BRO,10000,40.417,25.111476893212476,3.717685585685607,0.38037501042019595,0.38211681875039416,0.25
iai,5,,,,,BT,BRO,10000,40.417,21.684145820632004,3.3463872567007518,0.46494430872013903,0.4661089064544812,0.25
iai,3,,,,,SAT_S,CRO,10000,3.855,14.120724852071012,3.125384615384616,-0.08768215831210013,1.1102230246251565e-16,0.25
iai,4,,,,,SAT_S,CRO,10000,3.855,5.465262081778877,1.874917257683216,0.5790252894858519,0.6126522758065421,0.25
iai,5,,,,,SAT_S,CRO,10000,3.855,5.465262081778877,1.874917257683216,0.5790252894858519,0.6126522758065421,0.25
iai,3,,,,,SAT_M,CRO,10000,2.091,25.670549339769064,4.142677137848274,0.5529050928316612,0.5602737230211827,0.25
iai,4,,,,,SAT_M,CRO,10000,2.091,24.663446766162703,3.897517214243557,0.5704454432813482,0.5891626193590149,0.25
iai,5,,,,,SAT_M,CRO,10000,2.091,11.969583113007221,2.5319077031780393,0.7915299910445226,0.7944781584363783,0.25
iai,3,,,,,SAT_L,CRO,10000,4.936,33.56421952764148,4.488552660968091,0.7880385296146851,0.7886996729734843,0.25
iai,4,,,,,SAT_L,CRO,10000,4.936,27.139790474504704,4.061100435124205,0.8286094544761307,0.8287167716437148,0.25
iai,5,,,,,SAT_L,CRO,10000,4.936,19.042658082968693,3.3244404789796955,0.8797436715611163,0.8801610950889438,0.25
iai,3,,,,,GC_S,CRO,10000,5.995,449.1614211662864,16.070456147502703,0.581446806864296,0.5814987860732672,0.25
iai,4,,,,,GC_S,CRO,10000,5.995,286.50690631812705,10.495582338060565,0.73301718526158,0.7365488737514689,0.25
iai,5,,,,,GC_S,CRO,10000,5.995,286.50690631812705,10.495582338060565,0.73301718526158,0.7365488737514689,0.25
iai,3,,,,,GC_L,CRO,10000,3.371,127.92948554852472,8.416150038767634,0.5977174899776714,0.5987842984569678,0.25
iai,4,,,,,GC_L,CRO,10000,3.371,76.60051094978256,6.571147450075082,0.7591247578168132,0.7592014849477644,0.25
iai,5,,,,,GC_L,CRO,10000,3.371,83.11532587402158,5.743347661520971,0.7386385025269042,0.7449590537210986,0.25
iai,3,,,,,BT,CRO,10000,7.739,48.166571352660476,4.772341547311138,0.7634312463686265,0.7677198458993605,0.25
iai,4,,,,,BT,CRO,10000,7.739,26.740590451200593,4.0303548520961385,0.8686643458989298,0.8704772475598312,0.25
iai,5,,,,,BT,CRO,10000,7.739,34.54047362093476,3.3233833147781437,0.8303554401970001,0.8304048059868054,0.25
iai,3,,,,,SAT_S,PSO,10000,4.622,1.843338999618086,1.0545872518286306,0.5509130652726506,0.5511867277916787,0.25
iai,4,,,,,SAT_S,PSO,10000,4.622,1.426824674064684,0.9771594154903336,0.6523871521180766,0.6548678755317068,0.25
iai,5,,,,,SAT_S,PSO,10000,4.622,1.426824674064684,0.9771594154903336,0.6523871521180766,0.6548678755317068,0.25
iai,3,,,,,SAT_M,PSO,10000,3.005,22.331350143380106,3.7908229254013364,0.44274405595436894,0.4430452797589536,0.25
iai,4,,,,,SAT_M,PSO,10000,3.005,22.331350143380106,3.7908229254013364,0.44274405595436894,0.4430452797589536,0.25
iai,5,,,,,SAT_M,PSO,10000,3.005,22.331350143380106,3.7908229254013364,0.44274405595436894,0.4430452797589536,0.25
iai,3,,,,,SAT_L,PSO,10000,7.455,40.511348457080196,4.907059564649544,0.4204544988435114,0.4224544181815131,0.25
iai,4,,,,,SAT_L,PSO,10000,7.455,26.698719153767012,3.95986030555792,0.6180546152740567,0.622076414809748,0.25
iai,5,,,,,SAT_L,PSO,10000,7.455,26.698719153767012,3.95986030555792,0.6180546152740567,0.622076414809748,0.25
iai,3,,,,,GC_S,PSO,10000,2.939,255.73960302457465,12.99905482041588,-0.010503809381535278,0.0,0.25
iai,4,,,,,GC_S,PSO,10000,2.939,309.3418753675519,14.825775060819671,-0.22230245047381914,-0.17063757660140277,0.25
iai,5,,,,,GC_S,PSO,10000,2.939,309.3418753675519,14.825775060819671,-0.22230245047381914,-0.17063757660140277,0.25
iai,3,,,,,GC_L,PSO,10000,3.868,149.88633652825592,9.246572742886707,0.5805833729158392,0.5841572629314307,0.25
iai,4,,,,,GC_L,PSO,10000,3.868,94.91099733635652,7.631276491113116,0.7344170836512232,0.738943704643763,0.25
iai,5,,,,,GC_L,PSO,10000,3.868,94.91099733635652,7.631276491113116,0.7344170836512232,0.738943704643763,0.25
iai,3,,,,,BT,PSO,10000,10.31,53.69982483536868,5.904428680472169,0.6616393853353645,0.6630432563911026,0.25
iai,4,,,,,BT,PSO,10000,10.31,32.36542482971396,4.384557234795526,0.7960666524921098,0.7977414156057884,0.25
iai,5,,,,,BT,PSO,10000,10.31,30.48827029710319,4.237351632297492,0.8078945339316104,0.8091366861821015,0.25
naive,3,,,,,SAT_S,CRO,10000,0.808,11.411159574806376,2.7086309523809535,0.49246286736734013,0.5161798568787435,
naive,4,,,,,SAT_S,CRO,10000,0.808,7.455602503256202,1.8957370448179263,0.6683952150747361,0.6728405137180005,
naive,5,,,,,SAT_S,CRO,10000,0.808,8.924498669647997,2.210539762170197,0.6030627356243952,0.6156414812360285,
naive,3,,,,,SAT_S,BBO,10000,1.441,5.815832578259563,1.9343831108639233,0.15297787510485095,0.1564345006256571,
naive,4,,,,,SAT_S,BBO,10000,1.441,6.121065117382283,1.9217774314914657,0.10852358409906726,0.11473786862516322,
naive,5,,,,,SAT_S,BBO,10000,1.441,4.774522022169387,1.749146303258145,0.30463510870410293,0.32530132870408,
naive,3,,,,,SAT_S,ACO,10000,3.279,3.2981513118149257,1.3395300113700521,0.5072070726123337,0.5168286415807859,
naive,4,,,,,SAT_S,ACO,10000,3.279,3.3988008556498044,1.290255335083349,0.4921685317276435,0.49286781883782005,
naive,5,,,,,SAT_S,ACO,10000,3.279,3.8501598390003395,1.3387135986470042,0.42472877724723646,0.42475145449084983,
naive,3,,,,,SAT_S,BRO,10000,1.278,7.1771125313606055,2.1161820646056397,0.22149045332762385,0.2216847995072022,
naive,4,,,,,SAT_S,BRO,10000,1.278,6.893795377198631,2.1239324598807507,0.25222218677716657,0.25339332196208375,
naive,5,,,,,SAT_S,BRO,10000,1.278,6.378596234854559,2.019111632520803,0.30810642281216216,0.3105984265367864,
naive,3,,,,,SAT_S,PSO,10000,1.262,5.04975469707647,1.6675546159267085,0.3453234865450573,0.43366353570250793,
naive,4,,,,,SAT_S,PSO,10000,1.262,4.597319447514334,1.5498428132455062,0.40397954996115537,0.4686060306452101,
naive,5,,,,,SAT_S,PSO,10000,1.262,3.654519540541639,1.3817024061210113,0.5262090428788746,0.5656097468540819,
naive,3,,,,,SAT_M,CRO,10000,1.343,25.67365166052859,3.3495010293393115,0.48875340059940275,0.48917163391054275,
naive,4,,,,,SAT_M,CRO,10000,1.343,22.133217694159736,3.229056538081168,0.5592550514608283,0.5593663416044117,
naive,5,,,,,SAT_M,CRO,10000,1.343,16.83092561397292,2.612512839445573,0.6648410752515872,0.6648587414040358,
