total_ps_budget,island_amount,pRef_origin_method,miner_algorith,population_size,ps_budget_per_run,mined_count,target_count,found_count,uses_custom_crowding_operator,runtime
continuous,2 5 10 20,GA SA uniform,MOEAD NSGAII NSGAIII,continuous,continuous,continuous,continuous,continuous,False True,continuous
,,,,,,,,,,
10000.0,5,GA,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,15.331634044647217
10000.0,5,GA,NSGAIII,200.0,1000.0,90.0,30.0,1.0,True,12.133427143096924
10000.0,5,GA,NSGAIII,500.0,1000.0,200.0,30.0,0.0,True,12.838029384613037
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,0.0,False,23.082900524139404
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,False,21.72130560874939
10000.0,5,GA,MOEAD,500.0,1000.0,248.0,30.0,0.0,False,21.434113025665283
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,0.0,True,21.982501983642578
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,0.0,True,33.216756105422974
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,0.0,True,33.547858476638794
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,2.0,False,46.468684911727905
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,1.0,False,49.6497528553009
10000.0,5,GA,NSGAII,500.0,1000.0,131.0,30.0,1.0,False,36.868444204330444
10000.0,5,GA,NSGAII,100.0,1000.0,50.0,30.0,3.0,True,61.65037131309509
10000.0,5,GA,NSGAII,200.0,1000.0,90.0,30.0,2.0,True,53.18292284011841
10000.0,5,GA,NSGAII,500.0,1000.0,121.0,30.0,3.0,True,51.16670489311218
10000.0,5,GA,NSGAIII,100.0,1000.0,46.0,30.0,2.0,False,58.19134020805359
10000.0,5,GA,NSGAIII,200.0,1000.0,47.0,30.0,0.0,False,38.60954809188843
10000.0,5,GA,NSGAIII,500.0,1000.0,43.0,30.0,0.0,False,46.41263508796692
10000.0,5,GA,NSGAIII,100.0,1000.0,50.0,30.0,0.0,True,52.35939168930054
10000.0,5,GA,NSGAIII,200.0,1000.0,89.0,30.0,0.0,True,31.114264488220215
10000.0,5,GA,NSGAIII,500.0,1000.0,200.0,30.0,0.0,True,35.3262574672699
10000.0,5,GA,MOEAD,100.0,1000.0,50.0,30.0,1.0,False,41.67178726196289
10000.0,5,GA,MOEAD,200.0,1000.0,100.0,30.0,2.0,False,41.92842960357666
10000.0,5,GA,MOEAD,500.0,1000.0,250.0,30.0,1.0,False,47.69720959663391
