problem,pRef_method,sample_size,seed,kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,mse,mae,r_sq,evs
SAT_S,uniform,10000,0,iai,2,,,False,,12.104330523360392,2.7561936529697135,0.13659745287420821,0.13663130563379444
SAT_S,uniform,10000,0,iai,3,,,False,,10.34391036268539,2.5494496349464346,0.2621683175994408,0.2622443203478787
SAT_S,uniform,10000,0,iai,4,,,False,,8.970661688692175,2.3712322551287226,0.36012221936002287,0.3602415031308063
SAT_S,uniform,10000,0,iai,5,,,False,,7.6833748286744585,2.2025319332443414,0.4519444603072488,0.4520432790110138
SAT_S,uniform,10000,0,iai,6,,,False,,6.8253280022131255,2.0883481681915237,0.5131489865790781,0.5132189346277352
SAT_S,GA,10000,0,iai,2,,,False,,8.958067701990824,2.3231025828015985,0.20783436287695878,0.21059110708741346
SAT_S,GA,10000,0,iai,3,,,False,,7.8947915948186855,2.1457555758215485,0.301860309419932,0.3061464091131024
SAT_S,GA,10000,0,iai,4,,,False,,7.828663226852263,2.08072260803344,0.3077080683881286,0.31028283490113695
SAT_S,GA,10000,0,iai,5,,,False,,6.4529062298592414,1.8536423533002995,0.42936682944072224,0.4330895958442669
SAT_S,GA,10000,0,iai,6,,,False,,5.916614789232204,1.8034279549255912,0.4767913036555729,0.47685080685798353
SAT_S,SA,10000,0,iai,2,,,False,,10.080354588468373,2.636107799648536,0.25241077877103446,0.259351722523393
SAT_S,SA,10000,0,iai,3,,,False,,8.782572151522412,2.449025886593259,0.34865820269310044,0.34982891692826645
SAT_S,SA,10000,0,iai,4,,,False,,8.077978571605644,2.325812359989281,0.4009129682442537,0.4025150966273683
SAT_S,SA,10000,0,iai,5,,,False,,6.810801593000528,2.0934320963643973,0.49489059991193207,0.4958312663199673
SAT_S,SA,10000,0,iai,6,,,False,,6.0441722232145745,1.940389606258877,0.5517461250325633,0.5529619730462846
SAT_S,Tabu,10000,0,iai,2,,,False,,4.59116705435704,1.6942576248540695,0.08264047102068217,0.08322398669716313
SAT_S,Tabu,10000,0,iai,3,,,False,,4.277435406451916,1.6350963361834472,0.14532708497758917,0.14558373253528334
SAT_S,Tabu,10000,0,iai,4,,,False,,4.055124654012982,1.6007210408889274,0.18974692087767475,0.19018458181008058
SAT_S,Tabu,10000,0,iai,5,,,False,,3.5757226375197138,1.509825455466253,0.2855360748847462,0.2860231967804787
SAT_S,Tabu,10000,0,iai,6,,,False,,3.3405105816564804,1.4575286079740035,0.3325337158379723,0.3329293067503881
SAT_M,uniform,10000,0,iai,2,,,False,,25.50653270541698,4.006793009630481,0.056271234791111846,0.056325239543927874
SAT_M,uniform,10000,0,iai,3,,,False,,23.83106537932399,3.8803236620598494,0.11826267553545755,0.11834873058142803
SAT_M,uniform,10000,0,iai,4,,,False,,22.642770461832438,3.795779112402046,0.16222898440777778,0.16236554545692528
SAT_M,uniform,10000,0,iai,5,,,False,,21.161333538982316,3.660991241087231,0.21704139870504857,0.217057708683413
SAT_M,uniform,10000,0,iai,6,,,False,,20.569702374871028,3.637611277865598,0.2389314515167843,0.23893164488544893
SAT_M,GA,10000,0,iai,2,,,False,,43.48491167364023,4.9963212455778505,0.2700981704925529,0.2701140363911544
SAT_M,GA,10000,0,iai,3,,,False,,32.40852941539716,4.308328008846558,0.45601717925798235,0.4560562191386658
SAT_M,GA,10000,0,iai,4,,,False,,25.015297065039057,3.583141452655726,0.5801138741989815,0.5801206228218254
SAT_M,GA,10000,0,iai,5,,,False,,22.428755795640875,3.2580716424744507,0.6235294206947255,0.6239311956568043
SAT_M,GA,10000,0,iai,6,,,False,,18.916588280937265,3.0346885947511395,0.6824817652173144,0.683123174059838
SAT_M,SA,10000,0,iai,2,,,False,,41.98680427494146,5.268587332479811,0.12877393044146612,0.13243066954900984
SAT_M,SA,10000,0,iai,3,,,False,,36.09626945951159,4.928565921001106,0.2510025111459886,0.2539382066535155
SAT_M,SA,10000,0,iai,4,,,False,,31.03447798339822,4.434118451524704,0.3560346699114295,0.35680560322170984
SAT_M,SA,10000,0,iai,5,,,False,,22.50954742909149,3.817811522154185,0.5329269547219875,0.5354039701018097
